"Drug poisoning death rates* by intent, age, sex, and drug type, 1999-2021",,,,,,,,,,,,,,,,,,,
Year,Gender,Intent,,Substance,,,Age Group,,,,,,,,,,,,
,,,,,,,< 1 year,1-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85+ years,,
2019,Male,Preventable/accidental,,Cocaine,,,NR,NR,NR,2.7,10.5,12.8,12.5,10.7,3.6,0.5,NR,,
2019,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,2.6,12.2,13.0,10.1,7.8,2.8,0.3,NR,,
2019,Male,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.2,1.2,1.6,1.5,1.7,0.7,0.1,NR,,
2019,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.1,0.1,NR,9.5,30.8,31.6,23.4,16.0,4.7,0.4,NR,,
2019,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,1.8,6.3,7.1,6.3,5.7,2.2,0.4,0.2,,
2019,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,2.6,10.3,14.3,12.6,10.2,3.0,0.3,NR,,
2018,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.8,0.2,0.1,10.8,35.5,38.3,35.3,28.3,10.2,3.9,3.8,,
2018,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.4,0.2,0.1,8.4,28.1,27.7,23.0,17.2,5.7,1.4,0.9,,
2018,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,2.1,5.5,6.0,5.5,4.6,1.6,0.5,0.4,,
2018,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.2,0.5,0.5,0.3,0.2,NR,NR,NR,,
2018,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,2.0,7.8,8.6,8.2,6.3,1.7,0.2,NR,,
2018,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.1,NR,NR,2.7,10.2,9.1,7.0,4.9,1.4,0.1,NR,,
2018,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.3,1.3,1.8,1.7,1.6,0.6,0.1,NR,,
2018,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.2,0.1,NR,6.1,20.9,19.6,14.7,9.5,2.6,0.4,0.3,,
2018,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,1.6,5.2,6.7,7.0,6.5,2.6,1.1,0.7,,
2018,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.3,NR,NR,1.7,6.8,7.9,7.0,5.1,1.3,0.2,NR,,
2018,Both sexes,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,9.5,32.5,34.5,30.6,23.9,7.6,2.4,2.2,,
2018,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,NR,NR,7.8,26.4,25.7,20.7,15.1,4.4,0.7,0.2,,
2018,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.9,5.1,5.4,4.7,3.7,0.9,0.1,0.1,,
2018,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.2,0.5,0.4,0.3,0.2,NR,NR,NR,,
2018,Both sexes,Preventable/accidental,,Cocaine,,,NR,NR,NR,1.9,7.4,8.2,7.7,6.0,1.6,0.2,NR,,
2018,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,2.6,9.8,8.7,6.7,4.7,1.4,0.1,NR,,
2018,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.3,1.1,1.6,1.6,1.5,0.5,NR,NR,,
2018,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.1,NR,NR,5.7,19.6,18.3,13.4,8.5,2.2,0.3,0.1,,
2018,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,1.4,4.8,6.0,5.9,5.4,1.7,0.5,0.2,,
2018,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,1.6,6.5,7.6,6.7,5.0,1.3,0.1,NR,,
2018,Female,"All (preventable, intentional, undetermined)",,All drugs,,,0.9,0.1,0.2,7.1,20.8,24.2,24.8,19.9,7.1,3.5,3.7,,
2018,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.3,0.1,0.1,5.2,16.0,16.5,15.4,11.9,3.6,1.2,0.9,,
2018,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.3,3.7,4.8,5.1,4.6,1.6,0.5,0.5,,
2018,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.2,0.2,0.2,0.1,NR,NR,NR,,
2018,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,0.2,NR,NR,1.3,4.7,5.2,4.7,3.4,0.5,0.1,NR,,
2018,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.1,NR,NR,1.6,5.2,4.4,3.4,2.3,0.4,NR,NR,,
2018,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,NR,NR,NR,0.2,1.0,1.4,1.6,1.4,0.3,NR,NR,,
2018,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.3,0.1,NR,3.8,11.8,10.5,8.4,5.4,1.1,0.3,0.2,,
2018,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,1.0,3.4,5.4,6.4,5.9,2.3,1.0,0.7,,
2018,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.2,NR,NR,1.4,4.5,4.8,4.1,2.4,0.5,0.1,NR,,
2018,Female,Preventable/accidental,,All drugs,,,0.2,NR,NR,5.8,18.5,20.9,20.1,15.5,4.4,2.0,2.0,,
2018,Female,Preventable/accidental,,Any Opioid,,,0.1,NR,NR,4.8,14.9,14.9,13.4,1NR,2.4,0.5,0.2,,
2018,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.1,3.2,4.1,4.2,3.4,0.8,0.1,0.1,,
2018,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.2,0.2,0.2,0.1,NR,NR,NR,,
2018,Female,Preventable/accidental,,Cocaine,,,0.1,NR,NR,1.2,4.4,4.9,4.4,3.2,0.4,0.1,NR,,
2018,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.5,5.0,4.2,3.2,2.2,0.4,NR,NR,,
2018,Female,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.2,0.9,1.3,1.4,1.2,0.3,NR,NR,,
2018,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.1,NR,NR,3.5,11.0,9.7,7.6,4.7,0.8,0.1,0.1,,
2018,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,0.9,3.0,4.6,5.3,4.6,1.3,0.4,0.1,,
2018,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,1.3,4.2,4.6,3.8,2.3,0.5,NR,NR,,
2018,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.8,0.3,0.1,14.3,49.6,52.4,46.1,37.2,13.9,4.5,4.0,,
2018,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.5,0.2,NR,11.5,39.8,38.9,30.8,22.9,8.0,1.7,1.0,,
2018,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,0.1,NR,NR,2.9,7.2,7.3,5.9,4.7,1.6,0.5,0.3,,
2018,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.3,0.8,0.7,0.5,0.4,0.1,NR,NR,,
2018,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,2.7,10.8,12.1,11.8,9.5,3.1,0.3,NR,,
2018,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.1,NR,NR,3.7,15.0,13.7,10.7,7.7,2.6,0.2,NR,,
2018,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.2,0.1,NR,0.4,1.5,2.1,1.9,1.8,0.9,0.1,NR,,
2018,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,0.1,NR,8.4,29.8,28.6,21.2,13.9,4.3,0.6,0.3,,
2018,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.3,NR,NR,2.2,7.0,8.0,7.6,7.3,3.0,1.2,0.8,,
2018,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.3,NR,NR,2.1,9.0,11.1,10.1,8.1,2.2,0.3,NR,,
2018,Male,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,13.0,46.0,48.3,41.4,32.9,11.3,2.9,2.5,,
2018,Male,Preventable/accidental,,Any Opioid,,,0.2,NR,NR,10.8,37.6,36.5,28.1,20.5,6.7,1.0,0.3,,
2018,Male,Preventable/accidental,,Benzodiazepines,,,0.1,NR,NR,2.7,6.8,6.7,5.2,4.0,1.1,0.1,NR,,
2018,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.3,0.8,0.7,0.5,0.3,0.1,NR,NR,,
2018,Male,Preventable/accidental,,Cocaine,,,NR,NR,NR,2.6,10.2,11.5,11.1,9.0,3.0,0.3,NR,,
2018,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,3.6,14.5,13.2,10.3,7.4,2.5,0.2,NR,,
2018,Male,Preventable/accidental,,Opioid subgroup - methadone,,,0.1,NR,NR,0.4,1.4,1.9,1.7,1.7,0.7,0.1,NR,,
2018,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.1,NR,NR,7.8,28.0,26.9,19.5,12.5,3.8,0.5,0.1,,
2018,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,1.9,6.6,7.4,6.6,6.2,2.1,0.6,0.2,,
2018,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,2.0,8.6,10.7,9.7,7.9,2.2,0.2,NR,,
2017,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.9,0.2,0.2,12.6,38.4,39.0,37.7,28.0,9.2,3.6,4.0,,
2017,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.5,0.2,0.1,9.5,29.1,27.3,24.1,17.0,4.9,1.4,1.2,,
2017,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,2.4,6.2,6.3,6.1,4.7,1.4,0.6,0.4,,
2017,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.2,0.4,0.3,0.3,0.2,NR,NR,NR,,
2017,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,2.1,7.6,8.0,8.3,5.6,1.4,0.2,NR,,
2017,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,3.4,10.8,9.1,7.2,4.8,1.2,0.1,0.1,,
2017,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,0.4,1.5,1.8,1.8,1.7,0.5,0.1,NR,,
2017,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.2,0.1,NR,6.1,19.5,17.3,13.6,8.3,1.9,0.3,0.2,,
2017,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,NR,2.1,6.3,7.7,8.6,7.1,2.5,1.0,0.9,,
2017,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,1.8,5.7,6.2,5.8,3.9,0.9,0.1,NR,,
2017,Both sexes,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,11.2,35.1,35.0,32.7,23.5,6.7,2.1,2.4,,
2017,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,NR,NR,8.8,27.2,25.3,21.6,14.7,3.7,0.7,0.5,,
2017,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,2.2,5.8,5.7,5.1,3.8,0.8,0.1,0.1,,
2017,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.2,0.4,0.3,0.3,0.2,NR,NR,NR,,
2017,Both sexes,Preventable/accidental,,Cocaine,,,NR,NR,NR,2.1,7.3,7.6,7.8,5.3,1.3,0.2,NR,,
2017,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,3.2,10.3,8.7,6.8,4.5,1.1,0.1,0.1,,
2017,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.3,1.3,1.6,1.6,1.5,0.4,NR,NR,,
2017,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.1,NR,NR,5.7,18.2,16.2,12.4,7.4,1.6,0.2,0.1,,
2017,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,1.9,5.7,6.8,7.3,5.7,1.6,0.4,0.4,,
2017,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,1.7,5.4,5.9,5.6,3.8,0.9,NR,NR,,
2017,Female,"All (preventable, intentional, undetermined)",,All drugs,,,0.9,0.2,0.2,7.9,22.0,25.1,27.5,20.3,7.0,3.5,3.8,,
2017,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.5,0.1,0.1,5.7,16.1,16.5,16.9,12.3,3.6,1.4,1.1,,
2017,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,0.1,NR,NR,1.4,4.1,5.0,5.8,4.6,1.3,0.7,0.5,,
2017,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.2,0.2,0.2,0.1,NR,NR,NR,,
2017,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,1.4,4.6,4.6,4.7,2.7,0.4,0.1,NR,,
2017,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.1,NR,NR,2.0,5.4,4.7,3.5,2.1,0.4,NR,0.1,,
2017,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,0.2,1.1,1.6,1.5,1.4,0.3,0.1,NR,,
2017,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.2,0.1,NR,3.7,10.3,9.3,7.8,4.8,1.2,0.3,0.2,,
2017,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.3,0.1,NR,1.4,4.3,5.8,8.0,6.6,2.3,1.1,0.9,,
2017,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,1.3,3.6,3.8,3.5,1.9,0.3,NR,NR,,
2017,Female,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,6.6,19.5,21.6,22.3,15.7,4.2,2.0,2.3,,
2017,Female,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,5.2,14.8,15.0,14.5,10.1,2.3,0.7,0.5,,
2017,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.3,3.7,4.3,4.6,3.4,0.8,0.2,0.1,,
2017,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.2,0.2,0.1,0.1,NR,NR,NR,,
2017,Female,Preventable/accidental,,Cocaine,,,NR,NR,NR,1.3,4.4,4.3,4.4,2.5,0.3,0.1,NR,,
2017,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.9,5.2,4.5,3.3,2.0,0.4,NR,0.1,,
2017,Female,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.2,0.9,1.4,1.4,1.2,0.3,NR,NR,,
2017,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.1,0.1,NR,3.5,9.6,8.6,6.9,4.1,0.9,0.2,0.1,,
2017,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,1.1,3.7,5.1,6.6,5.2,1.3,0.5,0.4,,
2017,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,1.2,3.4,3.4,3.2,1.8,0.3,NR,NR,,
2017,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.9,0.3,0.1,17.1,54.3,53.0,48.3,36.2,11.8,3.7,4.5,,
2017,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.4,0.2,0.1,13.0,41.7,38.1,31.5,22.1,6.3,1.4,1.2,,
2017,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,3.3,8.3,7.6,6.4,4.9,1.4,0.4,0.4,,
2017,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.4,0.6,0.5,0.4,0.3,0.1,NR,0.1,,
2017,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,2.9,10.6,11.5,11.9,8.6,2.5,0.3,0.1,,
2017,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,4.7,16.0,13.5,10.9,7.6,2.1,0.2,0.1,,
2017,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.5,1.8,2.0,2.0,2.0,0.6,NR,NR,,
2017,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.2,0.1,NR,8.5,28.3,25.4,19.5,12.1,2.7,0.4,0.1,,
2017,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,2.8,8.3,9.5,9.3,7.5,2.6,0.8,0.9,,
2017,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,2.3,7.7,8.7,8.3,6.1,1.6,0.1,0.1,,
2017,Male,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,15.6,50.2,48.6,43.3,31.9,9.6,2.2,2.6,,
2017,Male,Preventable/accidental,,Any Opioid,,,0.1,NR,0.1,12.2,39.2,35.6,28.8,19.7,5.2,0.7,0.4,,
2017,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,3.1,7.8,7.0,5.7,4.1,1.0,0.1,NR,,
2017,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.4,0.5,0.5,0.4,0.3,0.1,NR,NR,,
2017,Male,Preventable/accidental,,Cocaine,,,NR,NR,NR,2.8,10.1,11.0,11.3,8.2,2.4,0.3,NR,,
2017,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,4.5,15.3,12.9,10.4,7.3,2.0,0.2,NR,,
2017,Male,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.5,1.7,1.9,1.8,1.8,0.6,NR,NR,,
2017,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.1,NR,NR,7.9,26.6,23.8,18.0,11.0,2.4,0.3,NR,,
2017,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,2.6,7.6,8.6,8.1,6.3,1.9,0.3,0.3,,
2017,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,2.1,7.3,8.3,8.0,5.9,1.6,0.1,0.1,,
2016,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.8,0.3,0.1,12.4,34.6,35.0,34.5,25.6,8.2,3.4,4.0,,
2016,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.3,0.2,0.1,9.3,25.9,24.1,21.2,15.2,4.2,1.2,0.9,,
2016,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,2.4,5.6,6.1,5.6,4.4,1.2,0.4,0.5,,
2016,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.2,0.3,0.3,0.2,0.1,NR,NR,NR,,
2016,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,1.7,5.7,6.0,6.1,4.2,1.0,0.1,NR,,
2016,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,4.0,11.3,9.0,7.0,4.3,0.9,NR,NR,,
2016,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.4,1.7,2.0,1.8,1.7,0.4,0.1,NR,,
2016,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,4.5,13.6,11.9,9.0,5.4,1.3,0.2,0.1,,
2016,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,2.3,6.3,7.7,8.7,7.2,2.3,0.9,0.6,,
2016,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.2,NR,NR,1.3,3.9,4.5,4.5,3.0,0.7,0.1,NR,,
2016,Both sexes,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,11.0,31.5,31.0,29.3,21.0,5.7,1.9,2.3,,
2016,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,8.6,24.0,22.1,18.7,13.0,3.1,0.5,0.3,,
2016,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,2.2,5.2,5.5,4.8,3.4,0.6,0.1,NR,,
2016,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.2,0.3,0.3,0.2,0.1,NR,NR,NR,,
2016,Both sexes,Preventable/accidental,,Cocaine,,,NR,NR,NR,1.7,5.4,5.8,5.8,4.0,1.0,0.1,NR,,
2016,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,3.7,10.7,8.5,6.6,4.0,0.9,NR,NR,,
2016,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.4,1.5,1.8,1.6,1.5,0.3,NR,NR,,
2016,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,4.2,12.7,11.1,8.0,4.7,1.0,0.1,NR,,
2016,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,2.1,5.7,6.7,7.2,5.7,1.5,0.4,0.2,,
2016,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,1.2,3.7,4.2,4.3,2.9,0.6,0.1,NR,,
2016,Female,"All (preventable, intentional, undetermined)",,All drugs,,,0.8,0.3,0.2,7.0,19.9,23.3,26.7,19.5,6.5,3.2,3.6,,
2016,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.4,0.2,0.1,4.9,14.1,15.0,15.8,11.5,3.3,1.1,0.8,,
2016,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,0.1,NR,NR,1.2,3.6,5.0,5.3,4.2,1.3,0.4,0.5,,
2016,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.1,0.2,0.1,0.1,NR,NR,NR,,
2016,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,0.3,NR,NR,1.0,3.1,3.4,3.6,2.1,0.3,NR,NR,,
2016,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.1,NR,NR,2.1,5.4,4.1,3.6,1.9,0.3,NR,NR,,
2016,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.2,1.2,1.6,1.7,1.4,0.2,NR,0.1,,
2016,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,2.5,7.1,6.5,5.8,3.5,0.9,0.2,0.1,,
2016,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,0.1,1.2,4.2,6.3,8.1,6.5,2.3,0.8,0.5,,
2016,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.9,2.5,2.5,2.7,1.5,0.3,NR,NR,,
2016,Female,Preventable/accidental,,All drugs,,,0.1,0.1,0.1,5.8,17.4,19.5,21.2,14.8,3.9,1.7,2.2,,
2016,Female,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,4.4,12.8,13.4,13.4,9.2,2.1,0.4,0.3,,
2016,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.0,3.1,4.3,4.3,3.1,0.6,0.1,0.1,,
2016,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.1,0.2,0.1,0.1,NR,NR,NR,,
2016,Female,Preventable/accidental,,Cocaine,,,0.1,NR,NR,0.9,3.0,3.3,3.4,2.0,0.2,NR,NR,,
2016,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,2.0,5.1,3.9,3.3,1.8,0.2,NR,NR,,
2016,Female,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.2,1.1,1.4,1.5,1.2,0.2,NR,NR,,
2016,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,2.3,6.5,5.9,4.9,2.9,0.6,NR,NR,,
2016,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,1.0,3.6,5.3,6.5,4.9,1.4,0.3,0.2,,
2016,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.8,2.2,2.3,2.5,1.3,0.2,NR,NR,,
2016,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.9,0.4,0.1,17.5,48.9,46.9,42.5,32.2,1NR,3.7,4.6,,
2016,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.3,0.1,13.4,37.3,33.3,26.8,19.3,5.3,1.4,1.0,,
2016,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,3.6,7.6,7.2,5.9,4.6,1.1,0.4,0.4,,
2016,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.3,0.5,0.5,0.3,0.2,NR,NR,NR,,
2016,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,2.5,8.1,8.6,8.7,6.3,1.8,0.3,NR,,
2016,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,5.7,17.1,13.8,10.6,6.8,1.7,0.1,NR,,
2016,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,NR,NR,NR,0.6,2.2,2.4,2.0,2.1,0.5,0.1,NR,,
2016,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,6.4,2NR,17.4,12.4,7.5,1.7,0.2,0.1,,
2016,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.2,NR,3.3,8.4,9.1,9.3,7.8,2.4,0.9,0.9,,
2016,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.3,NR,NR,1.7,5.4,6.5,6.2,4.7,1.2,0.1,NR,,
2016,Male,Preventable/accidental,,All drugs,,,0.2,0.2,0.1,16.0,45.2,42.7,37.6,27.8,7.8,2.3,2.5,,
